Description,ASIN,Product Description,Manufacturer
"  Care Instructions: Wipe with Dry Cloth    Designed For Comfort- back padded and padded strap for more comfort || made from nylon and polyester ||zip and chain used || material used to design its inside structure    Color : Black|| Closure Type : Zipper || Gender : Unisex    Two Side Water Bottle Mesh Pockets || Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items    Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a material that keep Dust away    This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age between 11 to 16 years because it has enough space to carry all books and accessories and it is very comfortable and stylish.   ",B0BN49Q8WB,"

   Product description    
 A fully paddded laptop sleeve that fit to all sizes and companies of laptop. Interior Back Zipper Porcket LARGE CAPACITY - Roomy enough hold your A4 books, iPad, cell phone, wallet, umbrella, glasses case, cosmetic... STRAPS - Two removable and adjustable long shoulder straps, one irremovable comfortable hand strap or single-shoulder strap   



  ",FurJaden
  Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle    External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments    The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease    Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey    Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only   ,B07YDGQQN5,"

  
 



  ",NoProductDimensions‏:‎49x33x10cm;82GramsDateFirstAvailable‏:‎17December2015Manufacturer‏:‎GearMerchandisePVTLTD
"  Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper   ",B019HA8AYG,"

   Product description    
 Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.   



  ",GearMerchandisePVTLTD
"  Strong stitching at major stress points provide long-lasting durability against daily activities    Mesh side water bottle pocket. Adjustable shoulder strap.    Main large compartment with double zip closure. Tough high durability fabric    High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes    Comes in attractive color combinations.   ",B07FWQ9HRV,"

   Product description    
 Full access to the main compartment with the centre zipper opening; It also has an adjustable shoulder strap along with grip handle, which will make it easy to carry it around   



  ",NoProductDimensions‏:‎18x18x36cm;800GramsDateFirstAvailable‏:‎25July2018Manufacturer‏:‎FreewillSportsPrivateLimited
"  ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all rounder backpack for men, school bag for boys and girls, College bag for boys and girls.     Compartment Description: Up To 15 Inches; Style Name: Casual Backpack    ",B08YZ8FFBZ,"

 ",FreewillSportsPrivateLimited
"  Capacity: 25 liters, Weight: 800 grams, Dimensions: 31 x 18 x 44 cm (L x W x H)   ",B01F7AX9ZA,"

   Product description    
 A fashionable laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions. Pattern: Solid. Laptop Size: 16   



  ","AkshayaRubbers,HebbalIndustrialArea,Mysore"
"  SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort     COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls.     SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.     ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Casual     OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    ",B0BJ32LQ6X,"

   Product description    
 This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.   



  ",NoProductDimensions‏:‎31x18x44cm;720GramsDateFirstAvailable‏:‎15September2015Manufacturer‏:‎UberFashionMerchandisePvt.Ltd.
"  The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.    Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.    Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.    External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.    Manufacturer warranty - 2 years   ",B097RJ22Q3,"

   Product description    
 This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.   



  ",UberFashionMerchandisePvt.Ltd.
"  HYGIENICALLY PRE-SEALED : LuvLap Breast Milk Storage Bags have been hygienically pre-sealed and are leak proof. Can store, freeze and protect precious breastmilk    DURABLE DOUBLE-LAYER MATERIAL : This breastmilk storage bags made of durable double-layer material and built-in double zipper seal. It is Presterilized, free of BPA    SELF-STANDING DESIGN : The bags are self-standing. Provides enough space to write the details on its surface, allowing you to document the date and information about storage    SAFE & CONVENIENT : The bags lay flat, saves space. Designed for your safe and instant usage    Resistant to low temperature and high temperature. It can withstand minus 20 degrees to high temperature 120 degrees   ",None,"

   Product description    
 Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 25 Bags)   



  ",AmazingBags
"  Care Instructions: Wipe with Dry Cloth    Designed For Comfort- back padded and padded strap for more comfort || made from nylon and polyester ||zip and chain used || material used to design its inside structure    Color : Blue || Closure Type : Zipper || Gender : Unisex    Two Side Water Bottle Mesh Pockets || Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items    Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a material that keep Dust away    This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age between 11 to 16 years because it has enough space to carry all books and accessories and it is very comfortable and stylish.   ",B0BN477XLT,"

   Product description    
 A fully paddded laptop sleeve that fit to all sizes and companies of laptop. Interior Back Zipper Porcket LARGE CAPACITY - Roomy enough hold your A4 books, iPad, cell phone, wallet, umbrella, glasses case, cosmetic... STRAPS - Two removable and adjustable long shoulder straps, one irremovable comfortable hand strap or single-shoulder strap   



  ",BagzoneLifestylePvtLtd
